month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,9,16,27,30,0.19,0.4,0.46,0.13
3,9,16,28,30,0.19,0.4,0.46,0.13
3,9,16,29,30,0.19,0.4,0.46,0.13
3,9,16,30,30,0.19,0.4,0.46,0.13
3,9,16,31,30,0.19,0.4,0.46,0.13
3,9,16,32,30,0.19,0.4,0.46,0.13
3,9,16,33,30,0.19,0.41,0.46,0.13
3,9,16,34,30,0.19,0.4,0.46,0.14
3,9,16,35,31,0.19,0.4,0.46,0.13
3,9,16,36,31,0.19,0.4,0.46,0.13
3,9,16,37,31,0.19,0.4,0.46,0.13
3,9,16,38,31,0.19,0.4,0.46,0.13
3,9,16,39,31,0.19,0.4,0.46,0.13
3,9,16,40,31,0.23,0.42,0.47,0.16
3,9,16,41,31,0.19,0.4,0.46,0.14
3,9,16,42,31,0.19,0.4,0.46,0.13
3,9,16,43,31,0.19,0.4,0.46,0.13
3,9,16,44,31,0.19,0.4,0.47,0.13
3,9,16,45,31,0.19,0.4,0.47,0.13
3,9,16,46,31,0.19,0.4,0.47,0.13
3,9,16,47,31,0.19,0.4,0.47,0.13
3,9,16,48,31,0.19,0.4,0.47,0.13
3,9,16,49,31,0.19,0.4,0.51,0.13
3,9,16,50,31,0.19,0.44,0.52,0.16
3,9,16,51,31,0.19,0.4,0.51,0.13
3,9,16,52,31,0.19,0.41,0.5,0.13
3,9,16,53,31,0.19,0.41,0.51,0.13
3,9,16,54,31,0.19,0.41,0.51,0.13
3,9,16,55,32,0.19,0.41,0.5,0.13
3,9,16,56,32,0.19,0.41,0.5,0.13
3,9,16,57,32,0.19,0.41,0.5,0.13
3,9,16,58,32,0.19,0.41,0.5,0.15
3,9,16,59,32,0.19,0.41,0.5,0.14
3,9,17,0,32,0.19,0.41,0.5,0.14
3,9,17,1,32,0.19,0.41,0.5,0.14
3,9,17,2,32,0.19,0.41,0.5,0.14
3,9,17,3,32,0.19,0.41,0.5,0.13
3,9,17,4,32,0.19,0.41,0.5,0.13
3,9,17,5,32,0.19,0.41,0.5,0.13
3,9,17,6,32,0.19,0.41,0.5,0.13
3,9,17,7,32,0.19,0.41,0.5,0.14
3,9,17,8,32,0.19,0.41,0.49,0.14
3,9,17,9,32,0.19,0.41,0.49,0.14
3,9,17,10,32,0.19,0.41,0.49,0.13
3,9,17,11,32,0.22,0.41,0.49,0.15
3,9,17,12,32,0.19,0.41,0.49,0.13
3,9,17,13,32,0.19,0.41,0.49,0.13
3,9,17,14,32,0.19,0.41,0.49,0.13
3,9,17,15,33,0.19,0.41,0.49,0.13
3,9,17,16,33,0.19,0.41,0.49,0.13
3,9,17,17,33,0.19,0.41,0.49,0.13
3,9,17,18,33,0.19,0.4,0.49,0.13
3,9,17,19,33,0.19,0.41,0.49,0.13
3,9,17,20,33,0.19,0.41,0.49,0.13
3,9,17,21,33,0.19,0.44,0.5,0.16
3,9,17,22,33,0.19,0.4,0.49,0.13
3,9,17,23,33,0.19,0.41,0.49,0.13
3,9,17,24,33,0.19,0.41,0.49,0.13
